"ລາຍວິຊາຮຽນ 2023-2024","","","","","","","","","","","","",""
"394","205DS122","ລະບົບຖານ​ຂໍ້​ມູນ (Database Systems)","3(2-2-5)","BSCCW","1","2","2","2023-2024","3","3","","",""
"395","205ES102","ພາສາອັງກິດສໍາລັບວິທະຍາສາດ2","2(0-4-2)","BSCCW","1","2","1","2023-2024","2","2","","",""
"396","205MC212","ຄະນິດສາດ​ສຳລັບ​ຄອມ​ພິວ​ເຕີ 2","3(2-2-5)","BSCCW","1","2","2","2023-2024","3","3","","",""
"397","205WM121","ການອອກແບບເວັບໄຊ","3(2-2-5)","BSCCW","1","2","2","2023-2024","3","3","","",""
"398","205WP122","ພື້ນຖານເວບໂປຣແກຣມມິງ","3(2-2-5)","BSCCW","1","2","2","2023-2024","3","3","","",""
"369","205CG221","ຄອມພິວເຕີກຣາຟິກ","3(2-2-5)","BSCCW","2","1","2","2023-2024","3","3","20","",""
"370","205DA221","ໂຄງສ້າງຂອງຂໍ້ມູນ ແລະ ຂັ້ນຕອນວິທີ ສໍາລັບການພັດທະນາເ...","3(2-2-5)","BSCCW","2","1","2","2023-2024","3","3","","",""
"371","205EC201","ພາສາ​ອັງກິດ​ສຳລັບ​ຄອມ​ພິວ​ເຕີ 1","1(0-2-1)","BSCCW","2","1","2","2023-2024","1","1","","",""
"372","205IT221","​ເຕັກ​ໂນ​ໂລ​ຊີ​ຂ່າ​ວສານ","2(2-0-4)","BSCCW","2","1","2","2023-2024","2","2","","",""
"373","205JS221","​ການພັດທະນາເວບໄຊດ້ວຍພາສາ JSP1","3(2-2-5)","BSCCW","2","1","12","2023-2024","3","3","","",""
"374","205MB211","ການ​ຂຽນ​ໂປຣ​ແກຣມ​ເທິງ​ມື​ຖື 1","3(2-2-5)","BSCCW","2","1","12","2023-2024","3","3","","",""
"375","205OS211","ລະບົບປະ​ຕິ​ບັດ​ການ","2(2-0-4)","BSCCW","2","1","2","2023-2024","2","2","","",""
"376","205PH221","ການພັດທະນາເວບໄຊດ້ວຍພາສາ PHP1","3(2-2-5)","BSCCW","2","1","12","2023-2024","3","3","","40",""
"399","015ND201","ສຶກສາປ້ອງກັນຕົວ(ບໍ່ໄດ້ຈ່າຍຄ່າໜ່ວຍກິດ)","3(0-2-7)  ","BSCCW","2","2","1","2023-2024","3","3","20","",""
"400","205AP221","ການບໍາລຸງຮັກສາ ແລະ ແກ້ໄຂບັນຫາຄອມພິວເຕີ (CompTAI A+...","3(2-2-5)","BSCCW","2","2","2","2023-2024","3","3","","",""
"401","205DA222","ໂຄງສ້າງຂອງຂໍ້ມູນ ແລະ ຂັ້ນຕອນວິທີ ສໍາລັບການພັດທະນາເ...","3(2-2-5)","BSCCW","2","2","2","2023-2024","3","3","","",""
"402","205HM221","Hybrid Mobile App","3(2-2-5)","BSCCW","2","2","12","2023-2024","3","3","","",""
"403","205MI211","ລະບົບ​ຂ່າວສານ​ເພື່ອ​ການ​ບໍລິຫານ(MIS)","2(2-0-4)","BSCCW","2","2","2","2023-2024","2","2","","",""
"404","205SR211","ສະຖິຕິ​ເພື່ອ​ງານ​ວິ​ໄຈ","3(2-2-5)","BSCCW","2","2","2","2023-2024","3","3","","",""
"405","205WP222","ການພັດທະນາເວບໄຊດ້ວຍພາສາ JSP2+framework","3(2-2-5)","BSCCW","2","2","12","2023-2024","3","3","","",""
"377","205AS321","ການສ້າງເວບດ້ວຍ ASP.net 1","3(2-2-5)","BSCCW","3","1","12","2023-2024","3","3","19","",""
"378","205EC301","ພາສາອັງກິດສຳລັບຄອມພິວເຕີ 2","1(0-2-1)","BSCCW","3","1","12","2023-2024","1","1","","",""
"379","205EM321","ການຄ້າດ້ວຍເອເລັກໂຕຣນິກ(E-Commerce)","3(2-2-5)","BSCCW","3","1","12","2023-2024","3","3","","",""
"380","205PH322","ການພັດທະນາເວບໄຊດ້ວຍພາສາ PHP2 + Framework","3(2-2-5)","BSCCW","3","1","12","2023-2024","3","3","","",""
"381","205RM311xx","ວິທີການຄົ້ນຄ້ວາ","3(2-2-5)","BSCCW","3","1","12","2023-2024","3","3","","",""
"382","205SA311","ການບໍລິຫານເຄື່ອງແມ່ຂ່າຍ","3(2-2-5)","BSCCW","3","1","12","2023-2024","3","3","","",""
"383","205WT321","ເວບເຊີເວີ ແລະ ເວບເທັກໂນໂລຢີ","3(2-2-5)","BSCCW","3","1","12","2023-2024","3","3","","",""
"406","115HR223","ມະນຸດ​ສຳພັນ","2(2-0-4)","BSCCW","3","2","1","2023-2024","2","2","19","38",""
"407","205AS322","ການພັດທະນາເວບໄຊດ້ວຍພາສາ ASP.net2+framework","3(2-2-5)","BSCCW","3","2","12","2023-2024","3","3","","",""
"408","205IO421","Introduction to the Internet of Things (IOT)","3(2-0-7)","BSCCW","3","2","12","2023-2024","3","3","","",""
"409","205MB312","ການຂຽນໂປຣແກຣມເທິງມືຖື 2","3(2-2-5)","BSCCW","3","2","12","2023-2024","3","3","","",""
"410","205ML321","ມາຊີນເລີນນິ່ງ (Machine Learning)","2(2-0-4)","BSCCW","3","2","12","2023-2024","2","2","","",""
"411","205SC321","ສຳມະນາ 1","1(0-2-1)","BSCCW","3","2","12","2023-2024","1","1","","",""
"412","205SE311x","ວິສະວະກຳຊັອບແວ (Process and Tools)","2(2-0-4)","BSCCW","3","2","12","2023-2024","2","2","","",""
"413","205WS321","ຄວາມປອດໄພຂອງເວບໄຊ","3(2-2-5)","BSCCW","3","2","12","2023-2024","3","3","","",""
"384","115PO401","ວິຊາການ​ເມືອງ","2(2-0-4)","BSCCW","4","1","1","2023-2024","2","2","19","",""
"385","205AI411","ປັນຍາປະດິດ","3(2-0-7)","BSCCW","4","1","12","2023-2024","3","3","","",""
"386","205AS411","MOS","3(2-2-5)","BSCCW","4","1","12","2023-2024","3","3","","",""
"387","205DM421","Data Mining","3(2-2-5)","BSCCW","4","1","12","2023-2024","3","3","","",""
"388","205EC401","ພາສາອັງກິດສໍາລັບຄອມພິວເຕີ3","1(0-2-1)","BSCCW","4","1","12","2023-2024","1","1","","",""
"389","205SA421","ການວິເຄາະ ແລະ ການອອກແບບລະບົບ","3(2-2-5)","BSCCW","4","1","12","2023-2024","3","3","","",""
"390","205SC412","ສໍາມະນາ2","1(0-2-1)","BSCCW","4","1","12","2023-2024","1","1","","",""
"391","205SI421x","ຍຸດທະສາດໃນການວາງແຜນລະບົບຂ່າວສານ","3(3-0-6)","BSCCW","4","1","12","2023-2024","3","3","","28",""
"414","205FP411","ໂຄງການຈົບຊັ້ນ/ສອບເສັງ","6(0-0-18)","BSCCW","4","2","12","2023-2024","6","6","9","",""
"415","205IP411","ລົງເຝິກງານ/ບົດໂຄງການນ້ອຍ","3(0-0-9)","BSCCW","4","2","12","2023-2024","3","3","","",""
"416","115LS101","ລາວສຶກສາ1","2(2-0-4)","BSCMA","1","1","1","2023-2024","2","2","18","",""
"417","145PY101","ຈິດຕະວິທະຍາ​ທົ່ວ​ໄປ","2(2-0-4)","BSCMA","1","1","1","2023-2024","2","2","","",""
"418","205CA111","​ແຄລຄູ​ລັດສ໌ 1","3(2-2-5)","BSCMA","1","1","2","2023-2024","3","3","","",""
"419","205CF111","ຄອມພີວເຕີພື້ນຖານ","3(2-2-5)","BSCMA","1","1","2","2023-2024","3","3","","",""
"420","205DM111","ຄະນິດສາດເຕັມໜ່ວຍ 1","3(2-2-5)","BSCMA","1","1","2","2023-2024","3","3","","",""
"421","205ES101","ພາສາອັງກິດສໍາລັບວິທະຍາສາດ 1","2(0-4-2)","BSCMA","1","1","1","2023-2024","2","2","","",""
"422","205GP111","ຟີຊິກສາດທົ່ວໄປ","3(2-2-5)","BSCMA","1","1","2","2023-2024","3","3","","37",""
"444","135LS102","ລາວ​ສຶກສາ2","2(2-0-4)","BSCMA","1","2","1","2023-2024","2","2","19","",""
"445","205AG111","​ເລຂາ​ວິ​ເຄາະ","3(2-2-5)","BSCMA","1","2","2","2023-2024","3","3","","",""
"446","205CA112","ແຄນ​ຄູ​ລັດ​ສ໌ 2","3(2-2-5)","BSCMA","1","2","2","2023-2024","3","3","","",""
"447","205DM112","ຄະນິດສາດເຕັມໜ່ວຍ 2","3(2-2-5)","BSCMA","1","2","2","2023-2024","3","3","","",""
"448","205ES102","ພາສາອັງກິດສໍາລັບວິທະຍາສາດ2","2(0-4-2)","BSCMA","1","2","1","2023-2024","2","2","","",""
"449","205MS211","ສະຖິຕິຄະນິດສາດ1","3(2-2-5)","BSCMA","1","2","2","2023-2024","3","3","","",""
"450","205OR121","ການວິໄຈດໍາເນີນງານ","3(2-2-5)","BSCMA","1","2","2","2023-2024","3","3","","",""
"423","205DB111","ຄວາມ​ຮູ້​ພື້ນຖານ​ກ່ຽວ​ກັບ​ຖານ​ຂໍ້​ມູນ(MS Access)","3(2-2-5)","BSCMA","2","1","2","2023-2024","3","3","20","",""
"424","205EM201","ພາສາອັງກິດສໍາລັບຄະນິດສາດ 1","2(0-4-2)","BSCMA","2","1","2","2023-2024","2","2","","",""
"425","205FI211","ຄະນິດສາດປະກັນໄພ","3(2-2-5)","BSCMA","2","1","2","2023-2024","3","3","","",""
"426","205GA111","ການບັນຊີທົ່ວໄປ","3(2-2-5)","BSCMA","2","1","2","2023-2024","3","3","","",""
"427","205LA211","ພຶດຊະຄະນິດລີເນແອ","3(2-2-5)","BSCMA","2","1","12","2023-2024","3","3","","",""
"428","205NM221","ວິທີ​ການ​ທາງ​ດ້ານ​ຈຳນວນ","3(2-2-5)","BSCMA","2","1","12","2023-2024","3","3","","",""
"429","205NT221","ທິດສະດີຈໍານວນ","3(2-2-5)","BSCMA","2","1","12","2023-2024","3","3","","40",""
"451","015ND201","ສຶກສາປ້ອງກັນຕົວ(ບໍ່ໄດ້ຈ່າຍຄ່າໜ່ວຍກິດ)","3(0-2-7)  ","BSCMA","2","2","1","2023-2024","3","3","20","",""
"452","205AN221","ວິເຄາະຄະນິດ 1","3(2-2-5)","BSCMA","2","2","12","2023-2024","3","3","","",""
"453","205DT221","ທິດສະດີການຕັດສິນໃຈທາງສະຖິຕິ","3(2-2-5)","BSCMA","2","2","12","2023-2024","3","3","","",""
"454","205EM202","ພາສາອັງກິດສໍາລັບຄະນິດສາດ 2","2(0-4-2)","BSCMA","2","2","2","2023-2024","2","2","","",""
"455","205GT221","ທິດສະດີກຣາຟ","3(2-2-5)","BSCMA","2","2","12","2023-2024","3","3","","",""
"456","205MH221","ປະຫວັດຂອງຄະນິດສາດ","3(2-2-5)","BSCMA","2","2","2","2023-2024","3","3","","",""
"457","205OD221","ສົມຜົນຈຸນລະຄະນິດສາມັນ","3(2-2-5)","BSCMA","2","2","12","2023-2024","3","3","","",""
"430","205AA321","ພຶດຊະຄະນິດນາມມະທໍາ","3(2-2-5)","BSCMA","3","1","12","2023-2024","3","3","19","",""
"431","205IS321","ຄວາມຮູ້ເບື້ອງຕົ້ນຂອງຂະບວນການສະໂຕຄາສຕິກ","3(2-2-5)","BSCMA","3","1","2","2023-2024","3","3","","",""
"432","205MA322","ວິເຄາະຄະນິດ 2","3(2-2-5)","BSCMA","3","1","12","2023-2024","3","3","","",""
"433","205PD321","ສົມຜົນຈຸນລະຄະນິດພາກສ່ວນ","3(2-2-5)","BSCMA","3","1","12","2023-2024","3","3","","",""
"434","205RM321","ວິທີການຄົ້ນຄ້ວາ  ","2(2-0-4)","BSCMA","3","1","12","2023-2024","2","2","","",""
"435","205SM321","ການນໍາໃຊ້ຊັອບແວທາງຄະນິດສາດ","2(0-4-2)","BSCMA","3","1","12","2023-2024","2","2","","",""
"436","205ST321","ທິດສະດີກຸ່ມ","3(2-2-5)","BSCMA","3","1","12","2023-2024","3","3","","39",""
"458","115HR223","ມະນຸດ​ສຳພັນ","2(2-0-4)","BSCMA","3","2","1","2023-2024","2","2","20","",""
"459","205DE321","ສົມຜົນຄວາມແຕກຕ່າງ  ","3(2-2-5)","BSCMA","3","2","12","2023-2024","3","3","","",""
"460","205EX321","ຝຶກງານ","3(0-0-9)","BSCMA","3","2","12","2023-2024","3","3","","",""
"461","205FA321","ວິເຄາະຕໍາລາ (Functional Analysis)","3(2-2-5)","BSCMA","3","2","12","2023-2024","3","3","","",""
"462","205FC321","ຕໍາລາຕົວປ່ຽນເປັນຈໍານວນສົນ","3(2-2-5)","BSCMA","3","2","12","2023-2024","3","3","","",""
"463","205IT321","ຄວາມຮູ້ເບື້ອງຕົ້ນກ່ຽວກັບໂຕໂປໂລຊີ","3(2-2-5)","BSCMA","3","2","12","2023-2024","3","3","","",""
"464","205MM321","ແບບຈໍາລອງທາງຄະນິດສາດ","3(2-2-5)","BSCMA","3","2","12","2023-2024","3","3","","",""
"437","115PO401","ວິຊາການ​ເມືອງ","2(2-0-4)","BSCMA","4","1","1","2023-2024","2","2","19","",""
"438","205CT421","ທິດສະດີລະຫັດ","3(2-2-5)","BSCMA","4","1","12","2023-2024","3","3","","",""
"439","205DG421","ເລຂາຈຸນລະຄະນິດ","3(2-2-5)","BSCMA","4","1","12","2023-2024","3","3","","",""
"440","205EM421x","ຄະນິດສາດສິ່ງແວດລ້ອມ","3(2-2-5)","BSCMA","4","1","12","2023-2024","3","3","","",""
"441","205PP421","ການວາງແຜນ ແລະ ການປະເມີນໂຄງການ","3(2-2-5)","BSCMA","4","1","12","2023-2024","3","3","","",""
"442","205QC231","ການຄວບຄຸມຄຸນນະພາບທາງສະຖິຕິ","3(2-2-5)","BSCMA","4","1","12","2023-2024","3","3","","25",""
"443","205SM421","ສໍາມະນາທາງຄະນິດສາດ","2(0-2-4)","BSCMA","4","1","12","2023-2024","2","2","","",""
"465","205FP421","ບົດໂຄງການຈົບຊັ້ນ","6(0-0-30)","BSCMA","4","2","12","2023-2024","6","6","6","",""
"466","115LS101","ລາວສຶກສາ1","2(2-0-4)","BSCMAEB","1","1","1","2023-2024","2","2","18","",""
"467","145PY101","ຈິດຕະວິທະຍາ​ທົ່ວ​ໄປ","2(2-0-4)","BSCMAEB","1","1","1","2023-2024","2","2","","",""
"468","205CA111","​ແຄລຄູ​ລັດສ໌ 1","3(2-2-5)","BSCMAEB","1","1","2","2023-2024","3","3","","",""
"469","205CF111","ຄອມພີວເຕີພື້ນຖານ","3(2-2-5)","BSCMAEB","1","1","2","2023-2024","3","3","","",""
"470","205DM111","ຄະນິດສາດເຕັມໜ່ວຍ 1","3(2-2-5)","BSCMAEB","1","1","2","2023-2024","3","3","","",""
"471","205ES101","ພາສາອັງກິດສໍາລັບວິທະຍາສາດ 1","2(0-4-2)","BSCMAEB","1","1","1","2023-2024","2","2","","",""
"472","205GA111","ການບັນຊີທົ່ວໄປ","3(2-2-5)","BSCMAEB","1","1","2","2023-2024","3","3","","36",""
"494","135LS102","ລາວ​ສຶກສາ2","2(2-0-4)","BSCMAEB","1","2","1","2023-2024","2","2","18","",""
"495","205BE121","ການເງິນທຸລະກິດ","3(2-2-5)","BSCMAEB","1","2","2","2023-2024","3","3","","",""
"496","205BU221","ສະຖິຕິທຸລະກິດ","3(2-2-5)","BSCMAEB","1","2","2","2023-2024","3","3","","",""
"497","205ES102","ພາສາອັງກິດສໍາລັບວິທະຍາສາດ2","2(0-4-2)","BSCMAEB","1","2","1","2023-2024","2","2","","",""
"498","205MI111","ເສດຖະສາດຈຸນລະພາກ","3(2-2-5)","BSCMAEB","1","2","2","2023-2024","3","3","","",""
"499","205OD221x","ສົມຜົນຈຸນລະຄະນິດສາມັນ","3(2-2-5)","BSCMAEB","1","2","2","2023-2024","3","3","","",""
"500","205SO221","ການນຳໃຊ້ຊັອບແວທາງຄະນິດສາດ","2(0-4-2)","BSCMAEB","1","2","2","2023-2024","2","2","","",""
"473","205AS221","ຄະນິດສາດປະກັນໄພ","3(2-2-5)","BSCMAEB","2","1","2","2023-2024","3","3","20","",""
"474","205DB111","ຄວາມ​ຮູ້​ພື້ນຖານ​ກ່ຽວ​ກັບ​ຖານ​ຂໍ້​ມູນ(MS Access)","3(2-2-5)","BSCMAEB","2","1","2","2023-2024","3","3","","",""
"475","205EE201","ພາສາ​ອັງກິດ​ສຳລັບ​​ເສດຖະສາດ ແລະ ບໍລິຫານທຸລະກິດ 1","2(0-4-2)","BSCMAEB","2","1","2","2023-2024","2","2","","",""
"476","205LA211","ພຶດຊະຄະນິດລີເນແອ","3(2-2-5)","BSCMAEB","2","1","2","2023-2024","3","3","","",""
"477","205MA221","ເສດຖະສາດມະຫາພາກ","3(2-2-5)","BSCMAEB","2","1","2","2023-2024","3","3","","",""
"478","205MF221","ຄະນິດສາດການເງິນ","3(2-2-5)","BSCMAEB","2","1","12","2023-2024","3","3","","",""
"479","205NM221","ວິທີ​ການ​ທາງ​ດ້ານ​ຈຳນວນ","3(2-2-5)","BSCMAEB","2","1","12","2023-2024","3","3","","40",""
"501","015ND201","ສຶກສາປ້ອງກັນຕົວ(ບໍ່ໄດ້ຈ່າຍຄ່າໜ່ວຍກິດ)","3(0-2-7)  ","BSCMAEB","2","2","1","2023-2024","3","3","20","",""
"502","205DE321","ສົມຜົນຄວາມແຕກຕ່າງ  ","3(2-2-5)","BSCMAEB","2","2","2","2023-2024","3","3","","",""
"503","205DT221","ທິດສະດີການຕັດສິນໃຈທາງສະຖິຕິ","3(2-2-5)","BSCMAEB","2","2","2","2023-2024","3","3","","",""
"504","205EE212","ພາສາ​ອັງກິດ​ສຳລັບ​​ເສດຖະສາດ ແລະ ບໍລິຫານທຸລະກິດ 2","2(0-4-2)","BSCMAEB","2","2","2","2023-2024","2","2","","",""
"505","205ME221","ຄະນິດສາດສຳລັບເສດຖະສາດ","3(2-2-5)","BSCMAEB","2","2","12","2023-2024","3","3","","",""
"506","205MK221","ການຕະຫຼາດ","3(2-2-5)","BSCMAEB","2","2","12","2023-2024","3","3","","",""
"507","205OP221","ອັອບຕີມາຍເຊຊັນ 1","3(2-2-5)","BSCMAEB","2","2","12","2023-2024","3","3","","",""
"480","205EC321","ເສດຖາມິຕິ","3(2-2-5)","BSCMAEB","3","1","12","2023-2024","3","3","20","",""
"481","205MD321","ຄະນິດສາດສຳລັບເສດຖະສາດ ແບບໄດນາມິກ","3(2-​2-5)","BSCMAEB","3","1","2","2023-2024","3","3","","",""
"482","205OP322","ອັອບຕີມາຍເຊຊັນ 2","3(2-2-5)","BSCMAEB","3","1","12","2023-2024","3","3","","",""
"483","205PM321","ການ​ບໍລິຫານ​ການ​ຜະລິດ","3(2-2-5)","BSCMAEB","3","1","12","2023-2024","3","3","","",""
"484","205RM311","ວິທີການຄົ້ນຄ້ວາ","2(2​-0-​4)","BSCMAEB","3","1","12","2023-2024","2","2","","",""
"485","205SG321","ການບໍລິຫານກົນລະຍຸດ","3(3-0-6)","BSCMAEB","3","1","12","2023-2024","3","3","","",""
"486","205ST321x","​ເຕັກນິກ​ການເລືອກຕົວຢ່າງ","3(2-2-5)","BSCMAEB","3","1","12","2023-2024","3","3","","39",""
"508","115HR223","ມະນຸດ​ສຳພັນ","2(2-0-4)","BSCMAEB","3","2","1","2023-2024","2","2","19","",""
"509","205EX321","ຝຶກງານ","3(0-0-15)","BSCMAEB","3","2","12","2023-2024","3","3","","",""
"510","205HR321","ການບໍລິຫານບຸກຄະລາກອນ","2(2-0-4)","BSCMAEB","3","2","2","2023-2024","2","2","","",""
"511","205MM321","ແບບຈໍາລອງທາງຄະນິດສາດ","3(2-2-5)","BSCMAEB","3","2","12","2023-2024","3","3","","",""
"512","205MR321","ວິໄຈການ​ຕະຫຼາດ","3(2-2-5)","BSCMAEB","3","2","12","2023-2024","3","3","","",""
"513","205OD321","ອັອບຕິມາຍເຊຊັນແບບໄດນາມິກ","3(2-2-5)","BSCMAEB","3","2","12","2023-2024","3","3","","",""
"514","205SM321x","ການ​ບໍລິຫານ​ທຸລະ​ກິດ​ຂະ​ໝາດ​ນ້ອຍ","3(2-2-5)","BSCMAEB","3","2","12","2023-2024","3","3","","",""
"487","115PO401","ວິຊາການ​ເມືອງ","2(2-0-4)","BSCMAEB","4","1","1","2023-2024","2","2","19","",""
"488","205CO421","ຄວາມຮູ້ເບື້ອງຕົ້ນກ່ຽວກັບທິດສະດີອອບຕິມາຍຄອນໂທຣນ","3(2-2-5)","BSCMAEB","4","1","12","2023-2024","3","3","","",""
"489","205PP421","ການວາງແຜນ ແລະ ການປະເມີນໂຄງການ","3(2-2-5)","BSCMAEB","4","1","12","2023-2024","3","3","","",""
"490","205QC421","ການຄວບຄຸມຄຸນນະພາບທາງສະຖິຕິ","3(2-2-5)","BSCMAEB","4","1","12","2023-2024","3","3","","",""
"491","205SA421x","ການວິເຄາະຂໍ້ມູນດ້ວຍໂປແກຣມທາງສະຖິຕິ","3(2-2-5)","BSCMAEB","4","1","12","2023-2024","3","3","","",""
"492","205SM421","ສໍາມະນາທາງຄະນິດສາດ","2(0-2-4)","BSCMAEB","4","1","12","2023-2024","2","2","","",""
"493","213DT221","ທິດສະດີການຕັດສິນໃຈ","3(2-2-5)","BSCMAEB","4","1","12","2023-2024","3","3","","25",""
"515","205FP421","ບົດໂຄງການຈົບຊັ້ນ","6(0-0-30)","BSCMAEB","4","2","12","2023-2024","6","6","6","",""
"516","115LS101","ລາວສຶກສາ1","2(2-0-4)","BSCMAST","1","1","1","2023-2024","2","2","18","",""
"517","145PY101","ຈິດຕະວິທະຍາ​ທົ່ວ​ໄປ","2(2-0-4)","BSCMAST","1","1","1","2023-2024","2","2","","",""
"518","205CA111","​ແຄລຄູ​ລັດສ໌ 1","3(2-2-5)","BSCMAST","1","1","2","2023-2024","3","3","","",""
"519","205CF111","ຄອມພີວເຕີພື້ນຖານ","3(2-2-5)","BSCMAST","1","1","2","2023-2024","3","3","","",""
"520","205DM111","ຄະນິດສາດເຕັມໜ່ວຍ 1","3(2-2-5)","BSCMAST","1","1","2","2023-2024","3","3","","",""
"521","205ES101","ພາສາອັງກິດສໍາລັບວິທະຍາສາດ 1","2(0-4-2)","BSCMAST","1","1","2","2023-2024","2","2","","",""
"522","205FS111","ສະຖິຕິ​ພື້ນຖານ","3(2-2-5)","BSCMAST","1","1","2","2023-2024","3","3","","36",""
"541","135LS102","ລາວ​ສຶກສາ2","2(2-0-4)","BSCMAST","1","2","1","2023-2024","2","2","18","",""
"542","205BU221","ສະຖິຕິທຸລະກິດ","3(2-2-5)","BSCMAST","1","2","2","2023-2024","3","3","","",""
"543","205ES102","ພາສາອັງກິດສໍາລັບວິທະຍາສາດ2","2(0-4-2)","BSCMAST","1","2","1","2023-2024","2","2","","",""
"544","205HR321","ການບໍລິຫານບຸກຄະລາກອນ","2(2-0-4)","BSCMAST","1","2","2","2023-2024","2","2","","",""
"545","205MS211","ສະຖິຕິຄະນິດສາດ1","3(2-2-5)","BSCMAST","1","2","2","2023-2024","3","3","","",""
"546","205PA211","ກະຕວງ ແລະ ສະຖິຕິນໍາໃຊ້ 1","3(2-2-5)","BSCMAST","1","2","2","2023-2024","3","3","","",""
"547","205SM221","ການນໍາໃຊ້ຊັອບແວທາງຄະນິດສາດ","3(2-2-5)","BSCMAST","1","2","2","2023-2024","3","3","","",""
"523","205DB111","ຄວາມ​ຮູ້​ພື້ນຖານ​ກ່ຽວ​ກັບ​ຖານ​ຂໍ້​ມູນ(MS Access)","3(2-2-5)","BSCMAST","2","1","2","2023-2024","3","3","20","",""
"524","205ES201","ພາສາອັງກິດສໍາລັບສະຖິຕິ 1","2(0-4-2)","BSCMAST","2","1","2","2023-2024","2","2","","",""
"525","205LA211","ພຶດຊະຄະນິດລີເນແອ","3(2-2-5)","BSCMAST","2","1","2","2023-2024","3","3","","",""
"526","205MS222","ສະຖິຕິຄະນິດສາດ 2","3(2-2-5)","BSCMAST","2","1","12","2023-2024","3","3","","",""
"527","205NM221","ວິທີ​ການ​ທາງ​ດ້ານ​ຈຳນວນ","3(2-2-5)","BSCMAST","2","1","12","2023-2024","3","3","","",""
"528","205PA222","ກະຕວງ ແລະ ສະຖິຕິນໍາໃຊ້ 2","3(2-2-5)","BSCMAST","2","1","12","2023-2024","3","3","","",""
"529","205RV221","ການວິເຄາະຣີເກຣຊັນ ແລະ ຄ່າຜັນປ່ຽນ","3(2-2-5)","BSCMAST","2","1","2","2023-2024","3","3","","40",""
"548","015ND201","ສຶກສາປ້ອງກັນຕົວ(ບໍ່ໄດ້ຈ່າຍຄ່າໜ່ວຍກິດ)","3(0-2-7)  ","BSCMAST","2","2","1","2023-2024","3","3","20","",""
"549","205DT221","ທິດສະດີການຕັດສິນໃຈທາງສະຖິຕິ","3(2-2-5)","BSCMAST","2","2","2","2023-2024","3","3","","",""
"550","205ED221","ການວາງແຜນການທົດລອງ","3(2-2-5)","BSCMAST","2","2","12","2023-2024","3","3","","",""
"551","205ES202","ພາສາອັງກິດສໍາລັບສະຖິຕິ 2","2(0-4-2)","BSCMAST","2","2","2","2023-2024","2","2","","",""
"552","205GA111","ການບັນຊີທົ່ວໄປ","3(2-2-5)","BSCMAST","2","2","12","2023-2024","3","3","","",""
"553","205OP221","ອັອບຕີມາຍເຊຊັນ 1","3(2-2-5)","BSCMAST","2","2","12","2023-2024","3","3","","",""
"554","205SA211","ການວິເຄາະຂໍ້ມູນດ້ວຍໂປຣແກຣມທາງສະຖິຕິ","3(2-2-5)","BSCMAST","2","2","12","2023-2024","3","3","","",""
"530","205DM321","ປະຊາກອນສາດ","3(2-2-5)","BSCMAST","3","1","12","2023-2024","3","3","17","",""
"531","205OP222","ອອບຕີໄມເຊຊັນ2","3(2-2-5)","BSCMAST","3","1","12","2023-2024","3","3","","",""
"532","205RM321","ວິທີການຄົ້ນຄ້ວາ  ","2(2-0-4)","BSCMAST","3","1","12","2023-2024","2","2","","",""
"533","205SI421","ການຈຳລອງທາງສະຖິຕິ","3(2-2-5)","BSCMAST","3","1","12","2023-2024","3","3","","",""
"534","205SR321","ສະຖິຕິສຳລັບການວິໄຈ","3(2-2-5)","BSCMAST","3","1","12","2023-2024","3","3","","",""
"535","205TI321","ການວິເຄາະອະນຸກົມເວລາ ແລະ ເລກດັດຊະນີ","3(2-2-5)","BSCMAST","3","1","12","2023-2024","3","3","","37",""
"555","115HR303","ມະນຸດສຳພັນ","2(2-0-4)","BSCMAST","3","2","1","2023-2024","2","2","20","",""
"556","205AS311","ຄະນິດສາດປະກັນໄພ","3(2-2-5)","BSCMAST","3","2","12","2023-2024","3","3","","",""
"557","205EX321","ຝຶກງານ","3(0-0-9)","BSCMAST","3","2","12","2023-2024","3","3","","",""
"558","205MV321","ການວິເຄາະຫຼາຍຕົວປ່ຽນ 1","3(2-2-5)","BSCMAST","3","2","12","2023-2024","3","3","","",""
